,date,pollution,dew,temp,press,wnd_spd,snow,rain,annot
56,2010-01-04 08:00:00,26.0,15.5,-13.0,1028.0,80.9,0,0,random
57,2010-01-04 09:00:00,27.0,-22.0,-13.0,1029.0,90.73,0,0,clean
58,2010-01-04 10:00:00,27.0,25.5,-12.0,1030.0,100.56,0,0,random
59,2010-01-04 11:00:00,25.0,-23.0,-12.0,1031.0,108.61,0,0,clean
60,2010-01-04 12:00:00,29.0,-21.0,-11.0,1030.0,117.55,0,0,clean
61,2010-01-04 13:00:00,32.0,-20.0,-10.0,1030.0,127.38,0,0,clean
62,2010-01-04 14:00:00,28.0,-21.0,-10.0,1030.0,136.32,0,0,clean
63,2010-01-04 15:00:00,29.0,-21.0,-9.0,1030.0,145.26,0,0,clean
64,2010-01-04 16:00:00,30.0,-21.0,-9.0,1031.0,152.41,0,0,clean
65,2010-01-04 17:00:00,30.0,15.5,-11.0,1032.0,159.56,0,0,random
66,2010-01-04 18:00:00,28.0,-23.0,-11.0,1032.0,165.37,0,0,clean
67,2010-01-04 19:00:00,26.0,-21.0,-12.0,1033.0,171.18,0,0,clean
68,2010-01-04 20:00:00,31.0,-24.0,-12.0,1034.0,180.12,0,0,clean
69,2010-01-04 21:00:00,33.0,15.5,-13.0,1034.0,187.27,0,0,random
70,2010-01-04 22:00:00,29.0,-24.0,-13.0,1035.0,195.32,0,0,clean
71,2010-01-04 23:00:00,31.0,-20.5,-15.0,1035.0,198.45,0,0,random
72,2010-01-05 00:00:00,30.0,-20.5,-17.0,1035.0,201.58,0,0,random
73,2010-01-05 01:00:00,34.0,-26.0,-18.0,1035.0,205.6,0,0,clean
74,2010-01-05 02:00:00,27.0,-26.0,-19.0,1035.0,208.73,0,0,clean
75,2010-01-05 03:00:00,25.0,-20.5,-18.0,1035.0,213.65,0,0,random
76,2010-01-05 04:00:00,28.0,-27.0,-19.0,1035.0,218.57,0,0,clean
77,2010-01-05 05:00:00,28.0,-27.0,-16.0,1034.0,4.92,0,0,clean
78,2010-01-05 06:00:00,27.0,-26.0,-16.0,1035.0,8.05,0,0,clean
79,2010-01-05 07:00:00,27.0,-27.0,-16.0,1034.0,13.86,0,0,clean
80,2010-01-05 08:00:00,27.0,-26.0,-16.0,1035.0,18.78,0,0,clean
81,2010-01-05 09:00:00,29.0,25.5,-15.0,1035.0,24.59,0,0,random
82,2010-01-05 10:00:00,36.0,-30.5,-14.0,1035.0,29.51,0,0,random
83,2010-01-05 11:00:00,30.0,-25.0,-13.0,1035.0,34.43,0,0,clean
84,2010-01-05 12:00:00,27.0,-25.0,-12.0,1034.0,39.35,0,0,clean
85,2010-01-05 13:00:00,39.0,-24.0,-11.0,1032.0,41.14,0,0,clean
86,2010-01-05 14:00:00,41.0,-30.5,-11.0,1032.0,0.89,0,0,random
87,2010-01-05 15:00:00,33.0,-23.0,-11.0,1031.0,1.79,0,0,clean
88,2010-01-05 16:00:00,50.0,-24.0,-11.0,1031.0,3.58,0,0,clean
89,2010-01-05 17:00:00,56.0,25.5,-11.0,1031.0,5.37,0,0,random
90,2010-01-05 18:00:00,59.0,-23.0,-11.0,1032.0,7.16,0,0,clean
91,2010-01-05 19:00:00,60.0,-22.0,-13.0,1033.0,10.29,0,0,clean
92,2010-01-05 20:00:00,84.0,-30.5,-12.0,1033.0,13.42,0,0,random
93,2010-01-05 21:00:00,106.0,-24.0,-18.0,1033.0,16.55,0,0,clean
94,2010-01-05 22:00:00,66.0,-22.0,-13.0,1034.0,20.57,0,0,clean
95,2010-01-05 23:00:00,50.0,-22.0,-16.0,1033.0,23.7,0,0,clean
96,2010-01-06 00:00:00,56.0,-25.0,-17.0,1033.0,26.83,0,0,clean
97,2010-01-06 01:00:00,77.0,15.5,-14.0,1033.0,4.02,0,0,random
98,2010-01-06 02:00:00,50.0,-26.0,-14.0,1034.0,8.04,0,0,clean
99,2010-01-06 03:00:00,44.0,-26.0,-14.0,1033.0,13.85,0,0,clean
100,2010-01-06 04:00:00,27.0,-26.0,-14.0,1033.0,17.87,0,0,clean
101,2010-01-06 05:00:00,28.0,-26.0,-14.0,1033.0,23.68,0,0,clean
102,2010-01-06 06:00:00,21.0,-30.5,-14.0,1033.0,28.6,0,0,random
103,2010-01-06 07:00:00,25.0,-30.5,-15.0,1034.0,33.52,0,0,random
104,2010-01-06 08:00:00,20.0,-26.0,-14.0,1034.0,39.33,0,0,clean
105,2010-01-06 09:00:00,29.0,-25.0,-13.0,1035.0,44.25,0,0,clean
106,2010-01-06 10:00:00,34.0,-25.0,-12.0,1035.0,50.06,0,0,clean
107,2010-01-06 11:00:00,42.0,-20.5,-11.0,1035.0,54.98,0,0,random
108,2010-01-06 12:00:00,28.0,-24.0,-10.0,1034.0,59.0,0,0,clean
109,2010-01-06 13:00:00,36.0,25.5,-10.0,1033.0,4.02,0,0,random
110,2010-01-06 14:00:00,48.0,0.0,-9.0,1033.0,5.81,0,0,random
111,2010-01-06 15:00:00,49.0,-30.5,-8.0,1033.0,0.89,0,0,random
112,2010-01-06 16:00:00,52.0,-22.0,-8.0,1033.0,1.79,0,0,clean
113,2010-01-06 17:00:00,56.0,-20.5,-9.0,1033.0,3.58,0,0,random
114,2010-01-06 18:00:00,96.0,-22.0,-9.0,1033.0,5.37,0,0,clean
115,2010-01-06 19:00:00,75.0,-22.0,-14.0,1034.0,0.89,0,0,clean
116,2010-01-06 20:00:00,105.0,-22.0,-12.0,1035.0,1.79,0,0,clean
117,2010-01-06 21:00:00,132.0,-21.0,-14.0,1034.0,3.58,0,0,clean
118,2010-01-06 22:00:00,93.0,-22.0,-16.0,1035.0,5.37,0,0,clean
119,2010-01-06 23:00:00,131.0,-21.0,-16.0,1035.0,7.16,0,0,clean
120,2010-01-07 00:00:00,127.0,-30.5,-16.0,1035.0,8.95,0,0,random
121,2010-01-07 01:00:00,130.0,-21.0,-16.0,1035.0,0.45,0,0,clean
122,2010-01-07 02:00:00,43.0,-22.0,-18.0,1036.0,1.34,0,0,clean
123,2010-01-07 03:00:00,37.0,-23.0,-15.0,1036.0,4.02,0,0,clean
124,2010-01-07 04:00:00,30.0,-24.0,-16.0,1035.0,7.15,0,0,clean
125,2010-01-07 05:00:00,28.0,-25.0,-15.0,1035.0,10.28,0,0,clean
126,2010-01-07 06:00:00,24.0,15.5,-15.0,1035.0,14.3,0,0,random
127,2010-01-07 07:00:00,23.0,-25.0,-13.0,1036.0,4.92,0,0,clean
128,2010-01-07 08:00:00,24.0,-24.0,-14.0,1036.0,4.02,0,0,clean
129,2010-01-07 09:00:00,27.0,-23.0,-12.0,1036.0,8.94,0,0,clean
130,2010-01-07 10:00:00,40.0,-22.0,-11.0,1036.0,12.96,0,0,clean
131,2010-01-07 11:00:00,42.0,-20.0,-10.0,1036.0,16.09,0,0,clean
132,2010-01-07 12:00:00,42.0,-21.0,-9.0,1035.0,19.22,0,0,clean
133,2010-01-07 13:00:00,55.0,-21.0,-8.0,1034.0,21.01,0,0,clean
134,2010-01-07 14:00:00,52.0,-20.0,-7.0,1033.0,22.8,0,0,clean
135,2010-01-07 15:00:00,51.0,-20.0,-7.0,1032.0,24.59,0,0,clean
136,2010-01-07 16:00:00,57.0,15.5,-8.0,1032.0,26.38,0,0,random
137,2010-01-07 17:00:00,50.0,-19.0,-9.0,1032.0,28.17,0,0,clean
138,2010-01-07 18:00:00,54.0,-19.0,-11.0,1032.0,0.89,0,0,clean
139,2010-01-07 19:00:00,67.0,-18.0,-11.0,1033.0,1.79,0,0,clean
140,2010-01-07 20:00:00,106.0,-19.0,-15.0,1032.0,1.79,0,0,clean
141,2010-01-07 21:00:00,159.0,-19.0,-14.0,1032.0,0.45,0,0,clean
142,2010-01-07 22:00:00,198.0,-21.0,-14.0,1032.0,1.34,0,0,clean
143,2010-01-07 23:00:00,190.0,-21.0,-16.0,1032.0,2.23,0,0,clean
144,2010-01-08 00:00:00,210.0,-21.0,-17.0,1031.0,1.79,0,0,clean
145,2010-01-08 01:00:00,195.0,-19.0,-16.0,1031.0,3.58,0,0,clean
146,2010-01-08 02:00:00,275.0,-20.0,-16.0,1031.0,0.89,0,0,clean
147,2010-01-08 03:00:00,164.0,-19.0,-15.0,1030.0,0.89,0,0,clean
148,2010-01-08 04:00:00,110.0,-18.0,-15.0,1030.0,0.45,0,0,clean
149,2010-01-08 05:00:00,100.0,-18.0,-15.0,1029.0,1.34,0,0,clean
150,2010-01-08 06:00:00,81.0,25.5,-15.0,1029.0,1.79,0,0,random
151,2010-01-08 07:00:00,71.0,-16.0,-13.0,1029.0,0.89,0,0,clean
152,2010-01-08 08:00:00,66.0,25.5,-12.0,1029.0,0.89,0,0,random
153,2010-01-08 09:00:00,92.0,-16.0,-12.0,1030.0,1.78,0,0,clean
154,2010-01-08 10:00:00,135.0,-17.0,-10.0,1030.0,0.89,0,0,clean
155,2010-01-08 11:00:00,155.0,-16.0,-10.0,1029.0,0.89,0,0,clean
156,2010-01-08 12:00:00,198.0,-16.0,-9.0,1028.0,3.13,0,0,clean
157,2010-01-08 13:00:00,250.0,-15.0,-8.0,1026.0,4.92,0,0,clean
158,2010-01-08 14:00:00,200.0,-16.0,-8.0,1026.0,0.89,0,0,clean
159,2010-01-08 15:00:00,231.0,15.5,-8.0,1025.0,1.78,0,0,random
160,2010-01-08 16:00:00,250.0,-30.5,-8.0,1025.0,2.67,0,0,random
161,2010-01-08 17:00:00,212.0,-17.0,-8.0,1025.0,0.89,0,0,clean
162,2010-01-08 18:00:00,219.0,-17.0,-9.0,1026.0,0.45,0,0,clean
163,2010-01-08 19:00:00,227.0,-17.0,-11.0,1026.0,1.34,0,0,clean
164,2010-01-08 20:00:00,226.0,-17.0,-12.0,1026.0,1.79,0,0,clean
165,2010-01-08 21:00:00,225.0,-18.0,-14.0,1027.0,1.79,0,0,clean
166,2010-01-08 22:00:00,168.0,-16.0,-9.0,1027.0,4.92,0,0,clean
167,2010-01-08 23:00:00,169.0,25.5,-11.0,1027.0,6.71,0,0,random
168,2010-01-09 00:00:00,165.0,0.0,-13.0,1027.0,0.89,0,0,random
169,2010-01-09 01:00:00,159.0,-20.5,-13.0,1027.0,3.13,0,0,random
170,2010-01-09 02:00:00,167.0,-17.0,-14.0,1027.0,4.92,0,0,clean
171,2010-01-09 03:00:00,196.0,-17.0,-15.0,1027.0,8.05,0,0,clean
172,2010-01-09 04:00:00,169.0,-17.0,-13.0,1027.0,9.84,0,0,clean
173,2010-01-09 05:00:00,155.0,25.5,-16.0,1027.0,13.86,0,0,random
174,2010-01-09 06:00:00,119.0,15.5,-15.0,1027.0,17.88,0,0,random
175,2010-01-09 07:00:00,106.0,-19.0,-15.0,1027.0,21.9,0,0,clean
176,2010-01-09 08:00:00,93.0,-18.0,-14.0,1028.0,25.92,0,0,clean
177,2010-01-09 09:00:00,84.0,-18.0,-9.0,1029.0,5.81,0,0,clean
178,2010-01-09 10:00:00,73.0,-17.0,-7.0,1029.0,11.62,0,0,clean
179,2010-01-09 11:00:00,66.0,-17.0,-6.0,1030.0,17.43,0,0,clean
180,2010-01-09 12:00:00,40.0,-16.0,-6.0,1029.0,23.24,0,0,clean
181,2010-01-09 13:00:00,49.0,-16.0,-5.0,1029.0,28.16,0,0,clean
182,2010-01-09 14:00:00,50.0,-30.5,-4.0,1029.0,33.08,0,0,random
183,2010-01-09 15:00:00,49.0,-14.0,-4.0,1028.0,37.1,0,0,clean
184,2010-01-09 16:00:00,41.0,-15.0,-4.0,1029.0,38.89,0,0,clean
185,2010-01-09 17:00:00,37.0,-15.0,-4.0,1030.0,1.79,0,0,clean
186,2010-01-09 18:00:00,45.0,-15.0,-7.0,1030.0,3.13,0,0,clean
187,2010-01-09 19:00:00,44.0,-15.0,-6.0,1031.0,3.13,0,0,clean
188,2010-01-09 20:00:00,54.0,-30.5,-7.0,1032.0,4.92,0,0,random
189,2010-01-09 21:00:00,50.0,15.5,-6.0,1032.0,3.13,0,0,random
190,2010-01-09 22:00:00,47.0,-15.0,-8.0,1033.0,0.45,0,0,clean
191,2010-01-09 23:00:00,66.0,0.0,-8.0,1033.0,0.9,0,0,random
192,2010-01-10 00:00:00,75.0,-15.0,-11.0,1033.0,0.89,0,0,clean
193,2010-01-10 01:00:00,82.0,-30.5,-13.0,1033.0,1.78,0,0,random
194,2010-01-10 02:00:00,66.0,-17.0,-12.0,1033.0,4.91,0,0,clean
195,2010-01-10 03:00:00,83.0,-17.0,-13.0,1033.0,8.04,0,0,clean
196,2010-01-10 04:00:00,62.0,-19.0,-14.0,1032.0,9.83,0,0,clean
197,2010-01-10 05:00:00,40.0,-30.5,-13.0,1032.0,12.96,0,0,random
198,2010-01-10 06:00:00,23.0,-19.0,-13.0,1032.0,16.09,0,0,clean
199,2010-01-10 07:00:00,25.0,-19.0,-14.0,1033.0,19.22,0,0,clean
200,2010-01-10 08:00:00,27.0,-19.0,-14.0,1034.0,22.35,0,0,clean
201,2010-01-10 09:00:00,35.0,-17.0,-12.0,1033.0,24.14,0,0,clean
202,2010-01-10 10:00:00,50.0,25.5,-7.0,1033.0,4.02,0,0,random
203,2010-01-10 11:00:00,70.0,-15.0,-7.0,1033.0,3.13,0,0,clean
204,2010-01-10 12:00:00,75.0,-15.0,-7.0,1032.0,6.26,0,0,clean
205,2010-01-10 13:00:00,58.0,-14.0,-6.0,1031.0,9.39,0,0,clean
206,2010-01-10 14:00:00,70.0,-14.0,-6.0,1031.0,12.52,0,0,clean
207,2010-01-10 15:00:00,68.0,-13.0,-5.0,1030.0,14.31,0,0,clean
208,2010-01-10 16:00:00,71.0,-14.0,-5.0,1031.0,16.1,0,0,clean
209,2010-01-10 17:00:00,88.0,-14.0,-6.0,1031.0,19.23,0,0,clean
210,2010-01-10 18:00:00,84.0,-13.0,-7.0,1032.0,23.25,0,0,clean
211,2010-01-10 19:00:00,83.0,-15.0,-6.0,1032.0,27.27,0,0,clean
212,2010-01-10 20:00:00,66.0,-15.0,-6.0,1033.0,30.4,0,0,clean
213,2010-01-10 21:00:00,27.0,-15.0,-4.0,1034.0,35.32,0,0,clean
214,2010-01-10 22:00:00,24.0,-16.0,-4.0,1034.0,44.26,0,0,clean
215,2010-01-10 23:00:00,22.0,0.0,-5.0,1035.0,52.31,0,0,random
216,2010-01-11 00:00:00,23.0,-17.0,-6.0,1035.0,60.36,0,0,clean
217,2010-01-11 01:00:00,27.0,-17.0,-8.0,1035.0,0.89,0,0,clean
218,2010-01-11 02:00:00,23.0,-19.0,-11.0,1036.0,4.02,0,0,clean
219,2010-01-11 03:00:00,17.0,25.5,-11.0,1036.0,8.94,0,0,random
220,2010-01-11 04:00:00,17.0,-21.0,-11.0,1035.0,4.02,0,0,clean
221,2010-01-11 05:00:00,16.0,-22.0,-12.0,1035.0,3.13,0,0,clean
222,2010-01-11 06:00:00,16.0,-22.0,-12.0,1035.0,4.92,0,0,clean
223,2010-01-11 07:00:00,20.0,-20.5,-13.0,1036.0,5.81,0,0,random
224,2010-01-11 08:00:00,20.0,-22.0,-9.0,1036.0,13.86,0,0,clean
225,2010-01-11 09:00:00,18.0,15.5,-10.0,1036.0,21.91,0,0,random
226,2010-01-11 10:00:00,25.0,-22.0,-9.0,1036.0,29.06,0,0,clean
227,2010-01-11 11:00:00,26.0,-21.0,-9.0,1036.0,33.08,0,0,clean
228,2010-01-11 12:00:00,27.0,-20.0,-6.0,1035.0,42.02,0,0,clean
229,2010-01-11 13:00:00,28.0,25.5,-5.0,1034.0,50.96,0,0,random
230,2010-01-11 14:00:00,15.0,-19.0,-5.0,1033.0,59.01,0,0,clean
231,2010-01-11 15:00:00,24.0,-20.5,-5.0,1033.0,66.16,0,0,random
232,2010-01-11 16:00:00,13.0,-20.0,-5.0,1032.0,71.97,0,0,clean
233,2010-01-11 17:00:00,13.0,-20.0,-5.0,1033.0,76.89,0,0,clean
234,2010-01-11 18:00:00,13.0,-20.0,-7.0,1033.0,81.81,0,0,clean
235,2010-01-11 19:00:00,17.0,-22.0,-7.0,1033.0,85.83,0,0,clean
236,2010-01-11 20:00:00,20.0,-22.0,-8.0,1033.0,89.85,0,0,clean
237,2010-01-11 21:00:00,27.0,-23.0,-10.0,1033.0,91.64,0,0,clean
238,2010-01-11 22:00:00,20.0,-23.0,-13.0,1033.0,93.43,0,0,clean
239,2010-01-11 23:00:00,15.0,-22.0,-12.0,1032.0,0.89,0,0,clean
240,2010-01-12 00:00:00,21.0,-22.0,-15.0,1031.0,1.78,0,0,clean
241,2010-01-12 01:00:00,21.0,-22.0,-14.0,1031.0,1.79,0,0,clean
242,2010-01-12 02:00:00,37.0,15.5,-14.0,1031.0,0.89,0,0,random
243,2010-01-12 03:00:00,26.0,-24.0,-18.0,1030.0,1.79,0,0,clean
244,2010-01-12 04:00:00,15.0,-24.0,-13.0,1030.0,3.58,0,0,clean
245,2010-01-12 05:00:00,9.0,-25.0,-14.0,1030.0,3.13,0,0,clean
246,2010-01-12 06:00:00,11.0,-30.5,-14.0,1030.0,7.15,0,0,random
247,2010-01-12 07:00:00,11.0,-20.5,-12.0,1030.0,12.96,0,0,random
248,2010-01-12 08:00:00,16.0,-30.5,-14.0,1030.0,16.98,0,0,random
249,2010-01-12 09:00:00,13.0,-25.0,-12.0,1031.0,21.0,0,0,clean
250,2010-01-12 10:00:00,15.0,0.0,-11.0,1031.0,26.81,0,0,random
251,2010-01-12 11:00:00,21.0,-24.0,-11.0,1030.0,35.75,0,0,clean
252,2010-01-12 12:00:00,24.0,-23.0,-11.0,1029.0,47.82,0,0,clean
253,2010-01-12 13:00:00,22.0,-30.5,-11.0,1029.0,63.02,0,0,random
254,2010-01-12 14:00:00,22.0,-23.0,-11.0,1029.0,75.98,0,0,clean
255,2010-01-12 15:00:00,22.0,-22.0,-11.0,1029.0,88.05,0,0,clean
256,2010-01-12 16:00:00,19.0,0.0,-11.0,1030.0,101.01,0,0,random
257,2010-01-12 17:00:00,23.0,-24.0,-11.0,1030.0,109.06,0,0,clean
258,2010-01-12 18:00:00,25.0,-24.0,-11.0,1032.0,118.0,0,0,clean
259,2010-01-12 19:00:00,25.0,0.0,-11.0,1032.0,126.05,0,0,random
260,2010-01-12 20:00:00,31.0,-23.0,-12.0,1032.0,134.1,0,0,clean
261,2010-01-12 21:00:00,25.0,-24.0,-12.0,1033.0,142.15,0,0,clean
262,2010-01-12 22:00:00,22.0,-23.0,-12.0,1033.0,150.2,0,0,clean
263,2010-01-12 23:00:00,22.0,-23.0,-12.0,1034.0,160.03,0,0,clean
264,2010-01-13 00:00:00,15.0,-24.0,-12.0,1034.0,169.86,0,0,clean
265,2010-01-13 01:00:00,16.0,-24.0,-12.0,1033.0,178.8,0,0,clean
266,2010-01-13 02:00:00,11.0,-25.0,-12.0,1033.0,189.98,0,0,clean
267,2010-01-13 03:00:00,11.0,15.5,-13.0,1033.0,198.03,0,0,random
268,2010-01-13 04:00:00,12.0,-25.0,-12.0,1032.0,205.18,0,0,clean
269,2010-01-13 05:00:00,11.0,-25.0,-12.0,1033.0,215.01,0,0,clean
270,2010-01-13 06:00:00,12.0,-25.0,-12.0,1032.0,226.19,0,0,clean
271,2010-01-13 07:00:00,27.0,-25.0,-12.0,1032.0,235.13,0,0,clean
272,2010-01-13 08:00:00,28.0,-20.5,-12.0,1032.0,243.18,0,0,random
273,2010-01-13 09:00:00,34.0,15.5,-11.0,1033.0,252.12,0,0,random
274,2010-01-13 10:00:00,33.0,-23.0,-10.0,1033.0,257.93,0,0,clean
275,2010-01-13 11:00:00,36.0,-22.0,-9.0,1033.0,263.74,0,0,clean
276,2010-01-13 12:00:00,26.0,-21.0,-8.0,1031.0,270.89,0,0,clean
277,2010-01-13 13:00:00,49.0,-21.0,-6.0,1030.0,278.94,0,0,clean
278,2010-01-13 14:00:00,52.0,25.5,-5.0,1029.0,286.99,0,0,random
279,2010-01-13 15:00:00,47.0,-22.0,-5.0,1028.0,294.14,0,0,clean
280,2010-01-13 16:00:00,47.0,-21.0,-5.0,1028.0,299.06,0,0,clean
281,2010-01-13 17:00:00,39.0,-19.0,-7.0,1028.0,1.79,0,0,clean
282,2010-01-13 18:00:00,59.0,-19.0,-8.0,1028.0,0.45,0,0,clean
283,2010-01-13 19:00:00,76.0,-20.0,-9.0,1028.0,1.34,0,0,clean
284,2010-01-13 20:00:00,96.0,-19.0,-10.0,1027.0,1.79,0,0,clean
285,2010-01-13 21:00:00,95.0,-19.0,-13.0,1027.0,0.89,0,0,clean
286,2010-01-13 22:00:00,68.0,-18.0,-12.0,1027.0,1.78,0,0,clean
287,2010-01-13 23:00:00,65.0,-18.0,-13.0,1027.0,0.89,0,0,clean
288,2010-01-14 00:00:00,75.0,-18.0,-14.0,1026.0,1.78,0,0,clean
289,2010-01-14 01:00:00,257.0,-20.0,-15.0,1025.0,2.67,0,0,clean
290,2010-01-14 02:00:00,174.0,-20.0,-15.0,1025.0,0.89,0,0,clean
291,2010-01-14 03:00:00,164.0,-20.0,-16.0,1025.0,1.78,0,0,clean
292,2010-01-14 04:00:00,161.0,-20.0,-16.0,1024.0,3.57,0,0,clean
293,2010-01-14 05:00:00,137.0,-21.0,-17.0,1024.0,6.7,0,0,clean
294,2010-01-14 06:00:00,92.0,-19.0,-14.0,1023.0,10.72,0,0,clean
295,2010-01-14 07:00:00,64.0,-21.0,-17.0,1023.0,13.85,0,0,clean
296,2010-01-14 08:00:00,87.0,0.0,-15.0,1024.0,15.64,0,0,random
297,2010-01-14 09:00:00,87.0,-19.0,-14.0,1024.0,18.77,0,0,clean
298,2010-01-14 10:00:00,84.0,25.5,-10.0,1024.0,22.79,0,0,random
299,2010-01-14 11:00:00,95.0,-17.0,-9.0,1023.0,24.58,0,0,clean
300,2010-01-14 12:00:00,79.0,-16.0,-6.0,1023.0,26.37,0,0,clean
301,2010-01-14 13:00:00,75.0,-17.0,-5.0,1022.0,28.16,0,0,clean
302,2010-01-14 14:00:00,79.0,-20.5,-5.0,1022.0,29.95,0,0,random
303,2010-01-14 15:00:00,86.0,-15.0,-4.0,1022.0,33.08,0,0,clean
304,2010-01-14 16:00:00,72.0,-16.0,-4.0,1023.0,0.89,0,0,clean
305,2010-01-14 17:00:00,89.0,-15.0,-5.0,1025.0,1.79,0,0,clean
306,2010-01-14 18:00:00,94.0,15.5,-3.0,1026.0,5.81,0,0,random
307,2010-01-14 19:00:00,69.0,-16.0,-3.0,1027.0,11.62,0,0,clean
308,2010-01-14 20:00:00,49.0,-15.0,-4.0,1029.0,20.56,0,0,clean
309,2010-01-14 21:00:00,33.0,-16.0,-5.0,1031.0,24.58,0,0,clean
310,2010-01-14 22:00:00,27.0,-17.0,-6.0,1032.0,3.13,0,0,clean
311,2010-01-14 23:00:00,20.0,-20.5,-6.0,1033.0,8.05,0,0,random
