date,dew,pollution,temp,press,wnd_dir,wnd_spd,snow,rain
04/01/2010 10:00,-22,27,-12,1030,NW,100.56,0,0
04/01/2010 11:00,-23,25,-12,1031,NW,108.61,0,0
04/01/2010 12:00,-21,29,-11,1030,NW,117.55,0,0
04/01/2010 13:00,-20,32,-10,1030,NW,127.38,0,0
04/01/2010 14:00,-21,28,-10,1030,NW,136.32,0,0
04/01/2010 15:00,-21,29,-9,1030,NW,145.26,0,0
04/01/2010 16:00,-21,30,-9,1031,NW,152.41,0,0
04/01/2010 17:00,-20,30,-11,1032,NW,159.56,0,0
04/01/2010 18:00,-23,28,-11,1032,NW,165.37,0,0
04/01/2010 19:00,-21,26,-12,1033,NW,171.18,0,0
04/01/2010 20:00,-24,31,-12,1034,NW,180.12,0,0
04/01/2010 21:00,-24,33,-13,1034,NW,187.27,0,0
04/01/2010 22:00,-24,29,-13,1035,NW,195.32,0,0
04/01/2010 23:00,-26,31,-15,1035,NW,198.45,0,0
05/01/2010 00:00,-26,30,-17,1035,NW,201.58,0,0
05/01/2010 01:00,-26,34,-18,1035,NW,205.6,0,0
05/01/2010 02:00,-26,27,-19,1035,NW,208.73,0,0
05/01/2010 03:00,-27,25,-18,1035,NW,213.65,0,0
05/01/2010 04:00,-27,28,-19,1035,NW,218.57,0,0
05/01/2010 05:00,-27,28,-16,1034,NE,4.92,0,0
05/01/2010 06:00,-26,27,-16,1035,NE,8.05,0,0
05/01/2010 07:00,-27,27,-16,1034,NE,13.86,0,0
05/01/2010 08:00,-26,27,-16,1035,NE,18.78,0,0
05/01/2010 09:00,-26,29,-15,1035,NE,24.59,0,0
05/01/2010 10:00,-25,36,-14,1035,NE,29.51,0,0
05/01/2010 11:00,-25,30,-13,1035,NE,34.43,0,0
05/01/2010 12:00,-25,27,-12,1034,NE,39.35,0,0
05/01/2010 13:00,-24,39,-11,1032,NE,41.14,0,0
05/01/2010 14:00,-22,41,-11,1032,cv,0.89,0,0
05/01/2010 15:00,-23,33,-11,1031,NW,1.79,0,0
05/01/2010 16:00,-24,50,-11,1031,NW,3.58,0,0
05/01/2010 17:00,-23,56,-11,1031,NW,5.37,0,0
05/01/2010 18:00,-23,59,-11,1032,NW,7.16,0,0
05/01/2010 19:00,-22,60,-13,1033,NW,10.29,0,0
05/01/2010 20:00,-22,84,-12,1033,NW,13.42,0,0
05/01/2010 21:00,-24,106,-18,1033,NW,16.55,0,0
05/01/2010 22:00,-22,66,-13,1034,NW,20.57,0,0
05/01/2010 23:00,-22,50,-16,1033,NW,23.7,0,0
06/01/2010 00:00,-25,56,-17,1033,NW,26.83,0,0
06/01/2010 01:00,-25,77,-14,1033,NE,4.02,0,0
06/01/2010 02:00,-26,50,-14,1034,NE,8.04,0,0
06/01/2010 03:00,-26,44,-14,1033,NE,13.85,0,0
06/01/2010 04:00,-26,27,-14,1033,NE,17.87,0,0
06/01/2010 05:00,-26,28,-14,1033,NE,23.68,0,0
06/01/2010 06:00,-26,21,-14,1033,NE,28.6,0,0
06/01/2010 07:00,-26,25,-15,1034,NE,33.52,0,0
06/01/2010 08:00,-26,20,-14,1034,NE,39.33,0,0
06/01/2010 09:00,-25,29,-13,1035,NE,44.25,0,0
06/01/2010 10:00,-25,34,-12,1035,NE,50.06,0,0
06/01/2010 11:00,-24,42,-11,1035,NE,54.98,0,0
06/01/2010 12:00,-24,28,-10,1034,NE,59,0,0
06/01/2010 13:00,-22,36,-10,1033,NW,4.02,0,0
06/01/2010 14:00,-22,48,-9,1033,NW,5.81,0,0
06/01/2010 15:00,-22,49,-8,1033,cv,0.89,0,0
06/01/2010 16:00,-22,52,-8,1033,NW,1.79,0,0
06/01/2010 17:00,-21,56,-9,1033,NW,3.58,0,0
06/01/2010 18:00,-22,96,-9,1033,NW,5.37,0,0
06/01/2010 19:00,-22,75,-14,1034,cv,0.89,0,0
06/01/2010 20:00,-22,105,-12,1035,NW,1.79,0,0
06/01/2010 21:00,-21,132,-14,1034,NW,3.58,0,0
06/01/2010 22:00,-22,93,-16,1035,NW,5.37,0,0
06/01/2010 23:00,-21,131,-16,1035,NW,7.16,0,0
07/01/2010 00:00,-21,127,-16,1035,NW,8.95,0,0
07/01/2010 01:00,-21,130,-16,1035,cv,0.45,0,0
07/01/2010 02:00,-22,43,-18,1036,cv,1.34,0,0
07/01/2010 03:00,-23,37,-15,1036,NW,4.02,0,0
07/01/2010 04:00,-24,30,-16,1035,NW,7.15,0,0
07/01/2010 05:00,-25,28,-15,1035,NW,10.28,0,0
07/01/2010 06:00,-24,24,-15,1035,NW,14.3,0,0
07/01/2010 07:00,-25,23,-13,1036,NE,4.92,0,0
07/01/2010 08:00,-24,24,-14,1036,NW,4.02,0,0
07/01/2010 09:00,-23,27,-12,1036,NW,8.94,0,0
07/01/2010 10:00,-22,40,-11,1036,NW,12.96,0,0
07/01/2010 11:00,-20,42,-10,1036,NW,16.09,0,0
07/01/2010 12:00,-21,42,-9,1035,NW,19.22,0,0
07/01/2010 13:00,-21,55,-8,1034,NW,21.01,0,0
07/01/2010 14:00,-20,52,-7,1033,NW,22.8,0,0
07/01/2010 15:00,-20,51,-7,1032,NW,24.59,0,0
07/01/2010 16:00,-18,57,-8,1032,NW,26.38,0,0
07/01/2010 17:00,-19,50,-9,1032,NW,28.17,0,0
07/01/2010 18:00,-19,54,-11,1032,NE,0.89,0,0
07/01/2010 19:00,-18,67,-11,1033,NW,1.79,0,0
07/01/2010 20:00,-19,106,-15,1032,NE,1.79,0,0
07/01/2010 21:00,-19,159,-14,1032,cv,0.45,0,0
07/01/2010 22:00,-21,198,-14,1032,cv,1.34,0,0
07/01/2010 23:00,-21,190,-16,1032,cv,2.23,0,0
08/01/2010 00:00,-21,210,-17,1031,NW,1.79,0,0
08/01/2010 01:00,-19,195,-16,1031,NW,3.58,0,0
08/01/2010 02:00,-20,275,-16,1031,NE,0.89,0,0
08/01/2010 03:00,-19,164,-15,1030,SE,0.89,0,0
08/01/2010 04:00,-18,110,-15,1030,cv,0.45,0,0
08/01/2010 05:00,-18,100,-15,1029,cv,1.34,0,0
08/01/2010 06:00,-18,81,-15,1029,NW,1.79,0,0
08/01/2010 07:00,-16,71,-13,1029,NE,0.89,0,0
08/01/2010 08:00,-16,66,-12,1029,SE,0.89,0,0
08/01/2010 09:00,-16,92,-12,1030,SE,1.78,0,0
08/01/2010 10:00,-17,135,-10,1030,NE,0.89,0,0
08/01/2010 11:00,-16,155,-10,1029,cv,0.89,0,0
08/01/2010 12:00,-16,198,-9,1028,SE,3.13,0,0
08/01/2010 13:00,-15,250,-8,1026,SE,4.92,0,0
08/01/2010 14:00,-16,200,-8,1026,cv,0.89,0,0
08/01/2010 15:00,-16,231,-8,1025,cv,1.78,0,0
08/01/2010 16:00,-16,250,-8,1025,cv,2.67,0,0
08/01/2010 17:00,-17,212,-8,1025,SE,0.89,0,0
08/01/2010 18:00,-17,219,-9,1026,cv,0.45,0,0
08/01/2010 19:00,-17,227,-11,1026,cv,1.34,0,0
08/01/2010 20:00,-17,226,-12,1026,cv,1.79,0,0
08/01/2010 21:00,-18,225,-14,1027,NW,1.79,0,0
08/01/2010 22:00,-16,168,-9,1027,NW,4.92,0,0
08/01/2010 23:00,-16,169,-11,1027,NW,6.71,0,0
09/01/2010 00:00,-17,165,-13,1027,cv,0.89,0,0
09/01/2010 01:00,-17,159,-13,1027,NW,3.13,0,0
09/01/2010 02:00,-17,167,-14,1027,NW,4.92,0,0
09/01/2010 03:00,-17,196,-15,1027,NW,8.05,0,0
09/01/2010 04:00,-17,169,-13,1027,NW,9.84,0,0
09/01/2010 05:00,-19,155,-16,1027,NW,13.86,0,0
09/01/2010 06:00,-18,119,-15,1027,NW,17.88,0,0
09/01/2010 07:00,-19,106,-15,1027,NW,21.9,0,0
09/01/2010 08:00,-18,93,-14,1028,NW,25.92,0,0
09/01/2010 09:00,-18,84,-9,1029,NE,5.81,0,0
09/01/2010 10:00,-17,73,-7,1029,NE,11.62,0,0
09/01/2010 11:00,-17,66,-6,1030,NE,17.43,0,0
09/01/2010 12:00,-16,40,-6,1029,NE,23.24,0,0
09/01/2010 13:00,-16,49,-5,1029,NE,28.16,0,0
09/01/2010 14:00,-15,50,-4,1029,NE,33.08,0,0
09/01/2010 15:00,-14,49,-4,1028,NE,37.1,0,0
09/01/2010 16:00,-15,41,-4,1029,NE,38.89,0,0
09/01/2010 17:00,-15,37,-4,1030,NW,1.79,0,0
09/01/2010 18:00,-15,45,-7,1030,NE,3.13,0,0
09/01/2010 19:00,-15,44,-6,1031,NW,3.13,0,0
09/01/2010 20:00,-15,54,-7,1032,NW,4.92,0,0
09/01/2010 21:00,-15,50,-6,1032,NE,3.13,0,0
09/01/2010 22:00,-15,47,-8,1033,cv,0.45,0,0
09/01/2010 23:00,-15,66,-8,1033,cv,0.9,0,0
10/01/2010 00:00,-15,75,-11,1033,NW,0.89,0,0
10/01/2010 01:00,-17,82,-13,1033,NW,1.78,0,0
10/01/2010 02:00,-17,66,-12,1033,NW,4.91,0,0
10/01/2010 03:00,-17,83,-13,1033,NW,8.04,0,0
10/01/2010 04:00,-19,62,-14,1032,NW,9.83,0,0
10/01/2010 05:00,-18,40,-13,1032,NW,12.96,0,0
10/01/2010 06:00,-19,23,-13,1032,NW,16.09,0,0
10/01/2010 07:00,-19,25,-14,1033,NW,19.22,0,0
10/01/2010 08:00,-19,27,-14,1034,NW,22.35,0,0
10/01/2010 09:00,-17,35,-12,1033,NW,24.14,0,0
10/01/2010 10:00,-16,50,-7,1033,NE,4.02,0,0
10/01/2010 11:00,-15,70,-7,1033,NW,3.13,0,0
10/01/2010 12:00,-15,75,-7,1032,NW,6.26,0,0
10/01/2010 13:00,-14,58,-6,1031,NW,9.39,0,0
10/01/2010 14:00,-14,70,-6,1031,NW,12.52,0,0
10/01/2010 15:00,-13,68,-5,1030,NW,14.31,0,0
10/01/2010 16:00,-14,71,-5,1031,NW,16.1,0,0
10/01/2010 17:00,-14,88,-6,1031,NW,19.23,0,0
10/01/2010 18:00,-13,84,-7,1032,NW,23.25,0,0
10/01/2010 19:00,-15,83,-6,1032,NW,27.27,0,0
10/01/2010 20:00,-15,66,-6,1033,NW,30.4,0,0
10/01/2010 21:00,-15,27,-4,1034,NW,35.32,0,0
10/01/2010 22:00,-16,24,-4,1034,NW,44.26,0,0
10/01/2010 23:00,-17,22,-5,1035,NW,52.31,0,0
11/01/2010 00:00,-17,23,-6,1035,NW,60.36,0,0
11/01/2010 01:00,-17,27,-8,1035,cv,0.89,0,0
11/01/2010 02:00,-19,23,-11,1036,NW,4.02,0,0
11/01/2010 03:00,-20,17,-11,1036,NW,8.94,0,0
11/01/2010 04:00,-21,17,-11,1035,NE,4.02,0,0
11/01/2010 05:00,-22,16,-12,1035,NW,3.13,0,0
11/01/2010 06:00,-22,16,-12,1035,NE,4.92,0,0
11/01/2010 07:00,-22,20,-13,1036,NW,5.81,0,0
11/01/2010 08:00,-22,20,-9,1036,NW,13.86,0,0
11/01/2010 09:00,-22,18,-10,1036,NW,21.91,0,0
11/01/2010 10:00,-22,25,-9,1036,NW,29.06,0,0
11/01/2010 11:00,-21,26,-9,1036,NW,33.08,0,0
11/01/2010 12:00,-20,27,-6,1035,NW,42.02,0,0
11/01/2010 13:00,-19,28,-5,1034,NW,50.96,0,0
11/01/2010 14:00,-19,15,-5,1033,NW,59.01,0,0
11/01/2010 15:00,-20,24,-5,1033,NW,66.16,0,0
11/01/2010 16:00,-20,13,-5,1032,NW,71.97,0,0
11/01/2010 17:00,-20,13,-5,1033,NW,76.89,0,0
11/01/2010 18:00,-20,13,-7,1033,NW,81.81,0,0
11/01/2010 19:00,-22,17,-7,1033,NW,85.83,0,0
11/01/2010 20:00,-22,20,-8,1033,NW,89.85,0,0
11/01/2010 21:00,-23,27,-10,1033,NW,91.64,0,0
11/01/2010 22:00,-23,20,-13,1033,NW,93.43,0,0
11/01/2010 23:00,-22,15,-12,1032,cv,0.89,0,0
12/01/2010 00:00,-22,21,-15,1031,cv,1.78,0,0
12/01/2010 01:00,-22,21,-14,1031,NE,1.79,0,0
12/01/2010 02:00,-22,37,-14,1031,NW,0.89,0,0
12/01/2010 03:00,-24,26,-18,1030,NE,1.79,0,0
12/01/2010 04:00,-24,15,-13,1030,NE,3.58,0,0
12/01/2010 05:00,-25,9,-14,1030,NW,3.13,0,0
12/01/2010 06:00,-24,11,-14,1030,NW,7.15,0,0
12/01/2010 07:00,-25,11,-12,1030,NW,12.96,0,0
12/01/2010 08:00,-26,16,-14,1030,NW,16.98,0,0
12/01/2010 09:00,-25,13,-12,1031,NW,21,0,0
12/01/2010 10:00,-25,15,-11,1031,NW,26.81,0,0
12/01/2010 11:00,-24,21,-11,1030,NW,35.75,0,0
12/01/2010 12:00,-23,24,-11,1029,NW,47.82,0,0
12/01/2010 13:00,-22,22,-11,1029,NW,63.02,0,0
12/01/2010 14:00,-23,22,-11,1029,NW,75.98,0,0
12/01/2010 15:00,-22,22,-11,1029,NW,88.05,0,0
12/01/2010 16:00,-23,19,-11,1030,NW,101.01,0,0
12/01/2010 17:00,-24,23,-11,1030,NW,109.06,0,0
12/01/2010 18:00,-24,25,-11,1032,NW,118,0,0
12/01/2010 19:00,-23,25,-11,1032,NW,126.05,0,0
12/01/2010 20:00,-23,31,-12,1032,NW,134.1,0,0
12/01/2010 21:00,-24,25,-12,1033,NW,142.15,0,0
12/01/2010 22:00,-23,22,-12,1033,NW,150.2,0,0
12/01/2010 23:00,-23,22,-12,1034,NW,160.03,0,0
13/01/2010 00:00,-24,15,-12,1034,NW,169.86,0,0
13/01/2010 01:00,-24,16,-12,1033,NW,178.8,0,0
13/01/2010 02:00,-25,11,-12,1033,NW,189.98,0,0
13/01/2010 03:00,-24,11,-13,1033,NW,198.03,0,0
13/01/2010 04:00,-25,12,-12,1032,NW,205.18,0,0
13/01/2010 05:00,-25,11,-12,1033,NW,215.01,0,0
13/01/2010 06:00,-25,12,-12,1032,NW,226.19,0,0
13/01/2010 07:00,-25,27,-12,1032,NW,235.13,0,0
13/01/2010 08:00,-25,28,-12,1032,NW,243.18,0,0
13/01/2010 09:00,-23,34,-11,1033,NW,252.12,0,0
13/01/2010 10:00,-23,33,-10,1033,NW,257.93,0,0
13/01/2010 11:00,-22,36,-9,1033,NW,263.74,0,0
13/01/2010 12:00,-21,26,-8,1031,NW,270.89,0,0
13/01/2010 13:00,-21,49,-6,1030,NW,278.94,0,0
13/01/2010 14:00,-20,52,-5,1029,NW,286.99,0,0
13/01/2010 15:00,-22,47,-5,1028,NW,294.14,0,0
13/01/2010 16:00,-21,47,-5,1028,NW,299.06,0,0
13/01/2010 17:00,-19,39,-7,1028,SE,1.79,0,0
13/01/2010 18:00,-19,59,-8,1028,cv,0.45,0,0
13/01/2010 19:00,-20,76,-9,1028,cv,1.34,0,0
13/01/2010 20:00,-19,96,-10,1027,SE,1.79,0,0
13/01/2010 21:00,-19,95,-13,1027,cv,0.89,0,0
13/01/2010 22:00,-18,68,-12,1027,cv,1.78,0,0
13/01/2010 23:00,-18,65,-13,1027,NE,0.89,0,0
14/01/2010 00:00,-18,75,-14,1026,NE,1.78,0,0
14/01/2010 01:00,-20,257,-15,1025,NE,2.67,0,0
14/01/2010 02:00,-20,174,-15,1025,NW,0.89,0,0
14/01/2010 03:00,-20,164,-16,1025,NW,1.78,0,0
14/01/2010 04:00,-20,161,-16,1024,NW,3.57,0,0
14/01/2010 05:00,-21,137,-17,1024,NW,6.7,0,0
14/01/2010 06:00,-19,92,-14,1023,NW,10.72,0,0
14/01/2010 07:00,-21,64,-17,1023,NW,13.85,0,0
14/01/2010 08:00,-19,87,-15,1024,NW,15.64,0,0
14/01/2010 09:00,-19,87,-14,1024,NW,18.77,0,0
14/01/2010 10:00,-18,84,-10,1024,NW,22.79,0,0
14/01/2010 11:00,-17,95,-9,1023,NW,24.58,0,0
14/01/2010 12:00,-16,79,-6,1023,NW,26.37,0,0
14/01/2010 13:00,-17,75,-5,1022,NW,28.16,0,0
14/01/2010 14:00,-16,79,-5,1022,NW,29.95,0,0
14/01/2010 15:00,-15,86,-4,1022,NW,33.08,0,0
14/01/2010 16:00,-16,72,-4,1023,cv,0.89,0,0
14/01/2010 17:00,-15,89,-5,1025,SE,1.79,0,0
14/01/2010 18:00,-14,94,-3,1026,NW,5.81,0,0
14/01/2010 19:00,-16,69,-3,1027,NW,11.62,0,0
14/01/2010 20:00,-15,49,-4,1029,NW,20.56,0,0
14/01/2010 21:00,-16,33,-5,1031,NW,24.58,0,0
14/01/2010 22:00,-17,27,-6,1032,NE,3.13,0,0
14/01/2010 23:00,-18,20,-6,1033,NE,8.05,0,0
15/01/2010 00:00,-19,36,-7,1034,NE,13.86,0,0
15/01/2010 01:00,-17,37,-8,1035,NW,5.81,0,0
15/01/2010 02:00,-18,30,-10,1035,NW,11.62,0,0
15/01/2010 03:00,-19,18,-10,1036,NW,14.75,0,0
15/01/2010 04:00,-19,21,-9,1036,NW,19.67,0,0
15/01/2010 05:00,-19,13,-9,1036,NE,7.15,0,0
15/01/2010 06:00,-20,23,-9,1037,NE,12.96,0,0
15/01/2010 07:00,-19,26,-9,1037,NE,18.77,0,0
15/01/2010 08:00,-19,27,-8,1038,NE,22.79,0,0
15/01/2010 09:00,-19,30,-8,1039,NE,28.6,0,0
15/01/2010 10:00,-19,28,-7,1039,NE,35.75,0,0
15/01/2010 11:00,-18,26,-6,1039,NE,41.56,0,0
15/01/2010 12:00,-18,26,-5,1039,NE,45.58,0,0
15/01/2010 13:00,-17,31,-4,1038,NW,1.79,0,0
15/01/2010 14:00,-16,35,-3,1037,cv,0.89,0,0
15/01/2010 15:00,-17,36,-3,1037,cv,1.78,0,0
15/01/2010 16:00,-17,37,-2,1037,cv,2.23,0,0
15/01/2010 17:00,-15,64,-5,1036,SE,0.89,0,0
15/01/2010 18:00,-15,83,-6,1036,cv,0.89,0,0
15/01/2010 19:00,-15,91,-6,1037,cv,1.78,0,0
15/01/2010 20:00,-14,90,-6,1037,SE,1.79,0,0
15/01/2010 21:00,-14,102,-8,1036,SE,3.58,0,0
15/01/2010 22:00,-14,94,-10,1037,cv,0.89,0,0
15/01/2010 23:00,-15,87,-11,1036,cv,1.78,0,0
16/01/2010 00:00,-15,141,-11,1036,cv,2.67,0,0
16/01/2010 01:00,-16,211,-13,1036,NE,0.89,0,0
16/01/2010 02:00,-16,242,-12,1036,cv,0.89,0,0
16/01/2010 03:00,-16,271,-13,1035,NE,0.89,0,0
16/01/2010 04:00,-15,249,-12,1035,NE,1.78,0,0
16/01/2010 05:00,-14,200,-10,1034,NW,1.79,0,0
16/01/2010 06:00,-15,147,-10,1034,NW,2.68,0,0
16/01/2010 07:00,-15,114,-11,1034,NW,4.47,0,0
16/01/2010 08:00,-15,102,-11,1034,NW,6.26,0,0
16/01/2010 09:00,-14,108,-9,1034,NW,8.05,0,0
16/01/2010 10:00,-14,135,-9,1034,NW,9.84,0,0
16/01/2010 11:00,-13,120,-6,1034,cv,0.89,0,0
16/01/2010 12:00,-13,148,-5,1033,NW,1.79,0,0
16/01/2010 13:00,-12,127,-4,1031,cv,0.89,0,0
16/01/2010 14:00,-12,128,-3,1031,cv,1.78,0,0
16/01/2010 15:00,-12,140,-3,1030,cv,2.67,0,0
16/01/2010 16:00,-11,148,-3,1030,cv,3.56,0,0
16/01/2010 17:00,-11,150,-4,1031,NE,0.89,0,0
16/01/2010 18:00,-12,154,-7,1031,cv,0.89,0,0
16/01/2010 19:00,-12,197,-7,1032,cv,1.78,0,0
16/01/2010 20:00,-12,235,-8,1032,cv,2.23,0,0
16/01/2010 21:00,-12,261,-9,1032,cv,3.12,0,0
16/01/2010 22:00,-13,269,-11,1032,NW,0.89,0,0
16/01/2010 23:00,-14,266,-11,1032,NW,2.68,0,0
17/01/2010 00:00,-15,263,-12,1032,NW,5.81,0,0
17/01/2010 01:00,-14,241,-11,1032,cv,0.45,0,0
17/01/2010 02:00,-14,205,-11,1031,cv,1.34,0,0
17/01/2010 03:00,-14,160,-12,1031,NW,1.79,0,0
17/01/2010 04:00,-14,150,-12,1031,NW,3.58,0,0
17/01/2010 05:00,-14,148,-10,1030,NW,6.71,0,0
17/01/2010 06:00,-14,208,-11,1030,NW,9.84,0,0
17/01/2010 07:00,-15,209,-10,1030,NW,11.63,0,0
17/01/2010 08:00,-13,183,-10,1030,NW,14.76,0,0
17/01/2010 09:00,-13,161,-8,1030,NW,17.89,0,0
17/01/2010 10:00,-12,182,-6,1030,cv,0.45,0,0
17/01/2010 11:00,-11,230,-5,1030,cv,1.34,0,0
17/01/2010 12:00,-11,170,-4,1029,cv,2.23,0,0
17/01/2010 13:00,-11,172,-3,1028,cv,3.12,0,0
17/01/2010 14:00,-10,154,-1,1027,cv,4.01,0,0
17/01/2010 15:00,-11,166,-1,1027,cv,4.46,0,0
17/01/2010 16:00,-10,177,-1,1026,SE,0.89,0,0
17/01/2010 17:00,-10,191,-3,1026,SE,1.78,0,0
17/01/2010 18:00,-10,212,-5,1027,SE,2.67,0,0
17/01/2010 19:00,-10,250,-6,1027,NE,0.89,0,0
17/01/2010 20:00,-11,268,-7,1027,cv,0.45,0,0
17/01/2010 21:00,-10,317,-7,1027,cv,0.9,0,0
17/01/2010 22:00,-11,291,-9,1027,cv,1.35,0,0
17/01/2010 23:00,-12,313,-9,1027,NE,0.89,0,0
18/01/2010 00:00,-12,282,-10,1028,cv,0.89,0,0
18/01/2010 01:00,-13,282,-11,1028,NW,3.13,0,0
18/01/2010 02:00,-11,303,-9,1028,NW,4.92,0,0
18/01/2010 03:00,-13,349,-10,1028,NW,6.71,0,0
18/01/2010 04:00,-13,407,-11,1028,NW,7.6,0,0
18/01/2010 05:00,-13,361,-11,1027,NE,1.79,0,0
18/01/2010 06:00,-14,234,-11,1028,NW,0.89,0,0
18/01/2010 07:00,-14,149,-11,1028,NW,4.02,0,0
18/01/2010 08:00,-14,147,-11,1028,NW,5.81,0,0
18/01/2010 09:00,-11,184,-6,1028,NW,9.83,0,0
18/01/2010 10:00,-10,161,-5,1028,NW,11.62,0,0
18/01/2010 11:00,-9,137,-3,1028,NW,13.41,0,0
18/01/2010 12:00,-8,146,-1,1027,NW,15.2,0,0
18/01/2010 13:00,-9,144,0,1026,NW,16.99,0,0
18/01/2010 14:00,-9,154,1,1025,NE,1.79,0,0
18/01/2010 15:00,-9,173,1,1025,cv,0.89,0,0
18/01/2010 16:00,-8,188,1,1025,SE,0.89,0,0
18/01/2010 17:00,-7,203,-1,1025,SE,2.68,0,0
18/01/2010 18:00,-7,233,-2,1025,cv,0.89,0,0
18/01/2010 19:00,-7,408,-3,1025,SE,0.89,0,0
18/01/2010 20:00,-5,435,-2,1026,cv,0.89,0,0
18/01/2010 21:00,-5,403,-1,1026,NW,1.79,0,0
18/01/2010 22:00,-5,360,-1,1026,NW,3.58,0,0
18/01/2010 23:00,-6,402,-1,1026,cv,0.89,0,0
19/01/2010 00:00,-4,358,-1,1025,NW,1.79,0,0
19/01/2010 01:00,-5,383,-1,1024,NW,4.92,0,0
19/01/2010 02:00,-5,332,-1,1024,NW,6.71,0,0
19/01/2010 03:00,-5,274,-1,1023,NW,8.5,0,0
19/01/2010 04:00,-4,256,-1,1022,NW,10.29,0,0
19/01/2010 05:00,-4,302,-1,1021,NW,11.18,0,0
19/01/2010 06:00,-4,330,-1,1021,NW,12.07,0,0
19/01/2010 07:00,-4,367,-1,1021,NW,13.86,0,0
19/01/2010 08:00,-4,297,0,1021,cv,0.89,0,0
19/01/2010 09:00,-4,331,0,1021,NW,1.79,0,0
19/01/2010 10:00,-4,323,0,1021,cv,0.89,0,0
19/01/2010 11:00,-5,339,1,1021,NW,1.79,0,0
19/01/2010 12:00,-5,301,1,1020,cv,0.89,0,0
19/01/2010 13:00,-4,310,1,1019,cv,1.34,0,0
